pop1	pop2	mean_Dxy	median_Dxy
North-China	Europe	0.159959070758739	0.1457
North-China	IRAN	0.161085289855073	0.1488
North-China	South-Asia	0.163088844842285	0.1525
North-China	Tibet	0.15624783887468	0.1443
North-China	Xinjiang	0.140612762148337	0.1279
Europe	IRAN	0.146801244671782	0.1356
Europe	South-Asia	0.161503324808184	0.1513
Europe	Tibet	0.160089705882352	0.1491
Europe	Xinjiang	0.158597195225916	0.1468
IRAN	South-Asia	0.163280971867008	0.15415
IRAN	Tibet	0.160638098891731	0.151
IRAN	Xinjiang	0.159662254901961	0.1497
South-Asia	Tibet	0.164335596760444	0.15645
South-Asia	Xinjiang	0.163085187553283	0.1547
Tibet	Xinjiang	0.154836265984655	0.1458
