pop1	pop2	mean_Fst	median_Fst
North-China	Europe	0.317228304892759	0.293183
North-China	IRAN	0.276564626726248	0.24418
North-China	South-Asia	0.23103062720744	0.198813
North-China	Tibet	0.251278704345953	0.223876
North-China	Xinjiang	0.188755765455597	0.15722
Europe	IRAN	0.133059030577104	0.104779
Europe	South-Asia	0.138103534405423	0.113438
Europe	Tibet	0.207595387342863	0.181892
Europe	Xinjiang	0.203375109204784	0.174512
IRAN	South-Asia	0.071885187596976	0.0529009
IRAN	Tibet	0.14870790314708	0.121287
IRAN	Xinjiang	0.140411661012308	0.1139295
South-Asia	Tibet	0.108005633441985	0.0867246
South-Asia	Xinjiang	0.0959922916060819	0.07592925
Tibet	Xinjiang	0.142001860503023	0.1182935
