Generation	Ne_genomatric
1	489.654670606731
2	489.654670606731
3	489.654670606731
4	489.654670606731
5	1102.84285724913
6	1129.10705340412
7	1156.79598816823
8	1165.57703211974
9	1484.1223727292
10	1566.33710110181
11	1613.85785381793
12	1632.35432123281
13	1737.62764379985
14	1784.9219611812
15	1808.15811643246
16	1820.65835385918
17	1829.88142530062
18	1833.02406944552
19	1836.89882875592
20	1831.6985858061
21	1826.67542728693
22	1811.51348329683
23	1797.83507426089
24	1779.21218979631
25	1764.41696631247
26	1738.64903023597
27	1704.51616083537
28	1673.19925446639
29	1650.40321052835
30	1616.2813906283
31	1585.60479973537
32	1548.48426265851
33	1502.86165822601
34	1466.33009792327
35	1425.86174833828
36	1389.30191937413
37	1349.2837225744
38	1304.36520407215
39	1262.51032850216
40	1227.67888777671
41	1187.94204141397
42	1152.45494238725
43	1109.2426840719
44	1085.32782594215
45	1064.52439050186
46	1033.33102240385
47	1004.18084142065
48	978.411393837551
49	957.292308624009
50	937.873165154395
51	920.919809479439
52	904.309632854336
53	891.814479987204
54	880.633158010659
55	873.822102866687
56	863.633915158469
57	856.884969408761
58	851.553151220192
59	846.647350060774
60	848.630386587074
61	849.89353031821
62	853.147342117657
63	854.555261090762
64	856.316829933722
65	859.309831333693
66	863.483665353698
67	866.479928918367
68	866.524269925059
69	871.290124356017
70	878.382479992556
71	893.61529494641
72	906.597638415794
73	925.061987282044
74	945.146740637156
75	968.21959771063
76	996.158029180381
77	1027.67710151726
78	1055.20344393689
79	1089.80440630031
80	1132.20567686125
81	1202.8578755642
82	1273.35265693368
83	1348.72693328174
84	1466.253726891
85	1619.20935397332
86	1794.5902293716
87	1994.12688527633
88	2195.97120531405
89	2440.08663157031
90	2634.48176876768
91	2925.70340066569
92	3310.2602462385
93	3732.65844668847
94	4153.32960508283
95	4588.56189780521
96	5096.79845738432
97	5643.90893877273
98	6161.00140988004
99	6660.05009341188
100	7266.7666713221
101	7733.96431637813
102	8136.6176996521
103	8460.37534159939
104	8725.89127622147
105	8991.75797463615
106	9306.16776277875
107	9666.37286765785
108	10046.1576292631
109	10251.4340752156
110	10460.9780204773
111	10692.8638533998
112	10929.353558427
113	11105.416823487
114	11291.0144590769
115	11518.2106640142
116	11652.6914004174
117	11805.7112928221
118	11948.5077662776
119	12057.7758790623
120	12217.2429466551
121	12341.9238239892
122	12479.8139293471
123	12620.0537987952
124	12748.119437124
125	12856.3320904033
126	12979.6380071386
127	13025.375660723
128	13119.824518574
129	13155.0486358736
130	13204.4688745218
131	13208.0118702085
132	13242.8705922414
133	13276.8570714208
134	13282.2272468577
135	13320.9525787161
136	13352.5706180344
137	13412.2364237134
138	13507.3943681763
139	13552.9970056632
140	13596.5502185949
141	13674.157651525
142	13738.7174619382
143	13782.7390192645
144	13787.2407784026
145	13800.8752110359
146	13790.26659319
147	13819.7322788538
148	13782.1172476248
149	13811.9656096122
150	13838.5273668536
151	13897.4442742185
152	13921.4717735483
153	13939.1393965252
154	13975.2337220501
155	14014.2860058957
156	14081.9708225466
157	14101.8002597988
158	14152.3360903757
159	14181.7929808763
160	14203.8550749986
161	14156.2504132149
162	14207.8114538094
163	14192.7530073152
164	14217.5441747922
165	14282.2869721535
166	14349.0653426112
167	14412.5664826444
168	14412.0096486937
169	14463.5022339271
170	14485.1774832547
171	14472.5249746455
172	14473.8055790218
173	14498.4540987635
174	14525.2652836788
175	14518.4889468544
176	14503.7711310182
177	14498.9320279672
178	14519.8211030396
179	14492.4892411323
180	14494.4264261969
181	14499.9674360993
182	14476.7884702273
183	14470.4468945499
184	14440.3300741044
185	14392.0633222274
186	14345.5268564538
187	14326.3036998957
188	14298.1189924222
189	14295.1926813662
190	14295.534531875
191	14279.4035020819
192	14215.3328889469
193	14214.0574974842
