Generation	Ne_genomatric
1	159.109038686553
2	159.109038686553
3	159.109038686553
4	159.109038686553
5	148.294526850877
6	147.137843725106
7	146.516790500355
8	145.778174759343
9	141.195187643546
10	137.980559824309
11	135.024418455273
12	132.771843390818
13	128.850310763562
14	125.079903445815
15	123.23377502885
16	122.184260367381
17	119.623924559193
18	117.652081284237
19	115.67286393433
20	114.234580822474
21	112.474894630499
22	111.563023224847
23	110.938471518823
24	110.038370313491
25	109.883219103659
26	109.176361915836
27	108.822789440529
28	108.803583693305
29	108.07100476111
30	107.506342239484
31	108.256113352013
32	109.413836387396
33	111.196944163309
34	113.627263173597
35	115.82497366866
36	117.751919171449
37	120.661598152075
38	126.538077770628
39	133.743497739051
40	152.976941410436
41	178.087108452904
42	215.449066724996
43	273.956748743324
44	381.475766653656
45	532.06292406355
46	691.533990649946
47	847.3637615875
48	986.228228079132
49	1107.77301366926
50	1179.15472113808
51	1256.24581964394
52	1311.17798433774
53	1358.69246820692
54	1393.19737537654
55	1413.41155048789
56	1443.21172612429
57	1462.54552556459
58	1483.33517443512
59	1497.55872353955
60	1500.23859272689
61	1502.04831121431
62	1506.85757701655
63	1510.39198509436
64	1517.19782548656
65	1520.19926780384
66	1527.64525415032
67	1531.75497514746
68	1538.79121207198
69	1540.93818345971
70	1552.82494466154
71	1557.22556674629
72	1559.69009983822
73	1567.55275367654
74	1576.22519031338
75	1585.35792730828
76	1584.77605609003
77	1586.99612883842
78	1591.71297594943
79	1595.18119517296
80	1600.44665559697
81	1605.66001037447
82	1603.9089195176
83	1597.10754859121
84	1597.96844562795
85	1600.19985534302
86	1600.02612566421
87	1609.03011412043
88	1620.42821203986
89	1632.92006416763
90	1642.39691375522
91	1648.98746791503
92	1653.90332399979
93	1655.51985748664
94	1652.60925858142
95	1653.72767725885
96	1659.31963655656
97	1657.18202826657
98	1658.66678853113
99	1659.58025541411
100	1659.63939506449
101	1659.59072525362
102	1658.51881982085
103	1660.00540644977
104	1654.74940504119
105	1657.90803233581
106	1649.76917312659
107	1654.19828693278
108	1651.4489547325
109	1654.7609319914
110	1657.47043309102
111	1653.68488539147
112	1654.62071106042
113	1653.0521260599
114	1658.51823762932
115	1666.40266075705
116	1676.00994885017
117	1685.04144768633
118	1691.11415263577
119	1698.37791177187
120	1707.08739660722
121	1711.01553984555
122	1718.29260270219
123	1724.40762470533
124	1726.44505977846
125	1731.38849758093
126	1736.75604579677
127	1744.10133930841
128	1743.01900935722
129	1739.60467175681
130	1730.95262057028
131	1722.38005304125
132	1724.87219164963
133	1723.9111267374
134	1725.89677561863
135	1729.17326843098
136	1724.58696568598
137	1714.44754399552
138	1707.10448862469
139	1697.17630024942
140	1696.78520034657
141	1696.42797841007
142	1701.25838227635
143	1701.49462281375
144	1699.11563277207
145	1697.74658679712
146	1699.20244149104
147	1699.98375204727
148	1700.75271022683
149	1698.31898263402
150	1690.83277623233
151	1681.12612418305
152	1673.1699598333
153	1669.03073653652
154	1666.08945280296
155	1667.43084572712
156	1670.39198668881
157	1669.30308050852
158	1668.72427630359
159	1666.25068424492
160	1665.19298698092
161	1666.84615667134
162	1669.16047931971
163	1667.76679183415
164	1669.63955232253
165	1672.3590407089
166	1673.64077725393
167	1674.5600254768
168	1670.13676015074
169	1661.77577987351
170	1654.63797631461
171	1648.72211560589
172	1640.53227432361
173	1636.64654160047
174	1632.25049565478
175	1627.64508840839
176	1623.70641251921
177	1620.23142833488
178	1618.83416318206
179	1617.68930163467
180	1616.67134251433
181	1614.98406566088
182	1609.94511018282
183	1607.31482303845
184	1603.14789941692
185	1601.03539422547
186	1600.63412730423
187	1593.33454067944
188	1585.39684240429
189	1581.17744579485
190	1573.95437605288
191	1563.82371227462
192	1556.19084107721
193	1550.88411844323
194	1542.78484542962
195	1539.6898119614
196	1537.34411741017
197	1538.82309102584
198	1537.82365400658
199	1534.08345634139
200	1531.3225040424
201	1529.18239879267
202	1523.23469792306
203	1516.07079193326
204	1512.72177540595
205	1510.74634473071
206	1504.98206162584
207	1499.63818807941
208	1497.10715635176
209	1493.3546522346
210	1493.36593502991
211	1497.81783642626
212	1494.56744533191
213	1494.64114792779
214	1492.00588524438
215	1491.01830315168
216	1492.61024795269
217	1490.67990096391
218	1487.95998226298
219	1487.11818703791
220	1491.14002721932
221	1490.23016078845
222	1487.51274552832
223	1482.28322000971
224	1478.6170594865
225	1474.58935015161
226	1472.2598099299
227	1470.38506502083
228	1470.11753597215
229	1467.50002937406
230	1465.22459608162
231	1461.62180453086
232	1458.91782353464
233	1458.54191294392
234	1454.83016383509
235	1451.35634615965
236	1445.24870378161
237	1441.81141867259
238	1435.57876045277
239	1431.78403319892
240	1427.56012530771
241	1424.03251541553
242	1421.89285642335
243	1419.42576142087
244	1418.10362631214
245	1418.40760361138
246	1417.83092753837
247	1417.58340145408
248	1417.22773501423
249	1417.25914171913
250	1416.47665790199
251	1416.20354144062
252	1415.51265827434
253	1414.2251065111
254	1412.86875563666
255	1411.38839896666
256	1408.85016899548
257	1406.31178530424
258	1405.19132273302
259	1403.41700486835
260	1402.88521285289
261	1401.08221302294
262	1398.29732814936
263	1397.1824348725
264	1396.69367284178
265	1397.34613765252
266	1398.21785582202
267	1397.13288085278
268	1396.45237217362
269	1396.54869386309
270	1396.60069443283
271	1395.59886552983
272	1394.94092901805
273	1393.88221305048
274	1392.28640724368
275	1390.30432169443
276	1389.5599663354
277	1388.40455730313
278	1388.14884688466
279	1386.83093954692
280	1386.55989041836
281	1386.85349118725
282	1387.20406794293
283	1386.9406732108
284	1384.72479468079
285	1383.47434796506
286	1381.94445303909
287	1379.99451393546
288	1379.5386861703
289	1378.02204007577
290	1376.47881911731
291	1375.33315045786
292	1373.53746655683
293	1372.63628733854
294	1370.14980676558
295	1368.6342541525
296	1366.58812429156
297	1363.01914179643
298	1361.47246794527
299	1360.15813673066
300	1359.51559365004
301	1357.08753531758
302	1356.43542025466
303	1356.4735600404
304	1355.85886020202
305	1355.14775069106
306	1354.02752708238
307	1352.45548704455
308	1351.84518528776
309	1351.6078128702
310	1347.86901424045
311	1346.59439762147
312	1346.21095370982
313	1345.92194715749
314	1345.04729485536
315	1344.40550204758
316	1341.5781701198
317	1340.24911940302
318	1340.12652390747
319	1338.92411134803
320	1337.70840503448
321	1335.99402010251
322	1334.41848103361
323	1334.07109065806
324	1333.07129401181
325	1331.31296309275
326	1330.21587987796
327	1329.51110371731
328	1329.65123060657
329	1329.75956177949
330	1330.45396114487
331	1331.49566661881
332	1331.44309264645
333	1331.96231742353
334	1331.52802765938
335	1329.76614034835
336	1328.87921776816
337	1327.95171495773
338	1328.16290935068
339	1328.31074313129
340	1328.06289102166
341	1328.93663241846
342	1329.3684312277
343	1329.99903445077
344	1330.16140119723
345	1329.61462088509
346	1328.79666694715
347	1327.86905480691
348	1327.20897992251
349	1325.9156455111
350	1324.4883800748
351	1322.57986381224
352	1321.81215843453
353	1320.80294116507
354	1318.25637306082
355	1315.95680849937
356	1315.56566086542
357	1315.28850843988
358	1315.38871100573
359	1315.264695751
360	1314.48164735265
361	1314.13405467887
362	1313.67236732463
363	1312.78017512886
364	1313.43075116901
365	1313.37647515575
366	1312.96628486798
367	1312.67304086295
368	1313.19563657772
369	1312.56615241918
370	1312.36065316341
371	1312.45125109417
372	1312.71087219614
373	1312.08771318399
374	1312.42339699541
375	1314.33172678378
376	1316.2328589012
377	1317.75706870079
378	1318.85445579567
379	1319.47084395124
380	1319.1039626812
381	1319.06727207859
382	1316.99499948553
383	1315.92829445213
384	1316.01057167495
385	1317.22416304137
386	1318.51942331182
387	1320.06104708349
388	1319.4393826498
389	1319.85606432322
390	1320.45877314439
391	1321.67047196185
392	1322.71611283471
393	1323.77007756273
394	1325.35755774592
395	1326.17325530862
396	1327.38423193852
397	1328.33625876616
398	1328.8567551944
399	1330.14589888051
400	1332.67049941962
401	1334.97046431461
402	1336.65570910311
403	1337.96017720263
404	1339.21552287432
405	1339.4142522354
406	1341.4489043312
407	1342.56420494524
408	1343.94920582458
409	1346.0649498693
410	1346.39493882187
411	1347.36150537594
412	1349.00463551161
413	1350.44246831643
414	1352.43865243756
415	1353.89332616048
416	1355.62891267751
417	1356.81890248308
418	1358.25972502867
419	1357.93486647336
420	1360.26164552665
421	1361.61600348911
422	1363.76879495877
423	1366.77977096362
424	1368.65709084723
425	1369.94371474778
426	1371.38657103524
427	1372.562169004
428	1373.36839636571
429	1374.16496034945
430	1374.88566659118
431	1375.77679004193
432	1376.69365842771
433	1378.41827614737
434	1379.86281067276
435	1382.14198308676
436	1385.3958976292
437	1390.62730589804
