Generation	Ne_genomatric
1	71.2672392819497
2	71.2672392819497
3	71.2672392819497
4	71.2672392819497
5	87.3051428801503
6	90.1082529646033
7	91.3884574664302
8	92.5140955545905
9	101.17926130804
10	104.724891557262
11	106.698348679738
12	107.885599629576
13	110.95831731931
14	112.944794678413
15	113.524285411978
16	114.063595069973
17	114.760974931462
18	114.3002892305
19	114.099410696449
20	112.97998627695
21	111.698411123191
22	110.047950619407
23	108.190563518501
24	106.438954727147
25	104.31350934712
26	100.678214280958
27	95.9441919277534
28	92.3922257945927
29	87.0606361936758
30	82.4573154651787
31	77.5275042403168
32	72.9790507265941
33	68.7179348114064
34	65.8440589179781
35	63.6219152286782
36	61.5101853934369
37	59.6304322450026
38	58.3877008750066
39	57.1461295573345
40	55.8511463706481
41	55.0257004544251
42	55.2499679846636
43	55.538977893303
44	55.802107220491
45	57.3828343884801
46	58.0709721374617
47	59.3034401119035
48	61.29304573317
49	66.4869666009213
50	71.6777298853997
51	77.1607561979558
52	82.593635849782
53	93.2765751057576
54	108.07435108851
55	117.093655500631
56	126.561852428628
57	134.784686732751
58	145.058836798681
59	155.676809151767
60	176.55399511063
61	220.894866227032
62	285.495199436427
63	444.300193639321
64	777.161311132257
65	1343.92033894093
66	2310.3059768429
67	3942.79568499241
68	6630.88702783254
69	9154.51674782245
70	11347.4771777277
71	12659.257886785
72	13207.9584654446
73	13538.0164553527
74	13607.4157320812
75	13573.9029442818
76	13574.8074397398
77	13652.9248165313
78	13658.8537875504
79	13660.2419639454
80	13745.2260206506
81	13818.4329034813
82	13884.8890622276
83	13884.1576645019
84	13898.6129680659
85	13937.1237044712
86	13919.54582898
87	13912.7241516924
88	13887.4428098465
89	13806.0934293241
90	13740.5784254243
91	13699.7999229927
92	13650.2901599789
93	13653.7690908796
94	13670.025328628
95	13690.3538147343
96	13728.8632164648
97	13794.3056051887
98	13818.9858370561
99	13804.7655701077
100	13826.9242097837
101	13782.6946361265
102	13839.035175978
103	13922.0307952078
104	13940.0603797656
105	14028.5393568184
106	14067.1703725981
107	14088.9096061222
108	14153.5776128574
109	14166.0112526823
110	14182.9020746772
111	14222.4452265505
112	14263.9420087428
113	14274.9899320683
114	14320.8737284385
115	14310.4314378247
116	14293.2262499328
117	14333.3214055442
118	14346.1570556204
119	14333.7701845556
120	14322.0477587418
121	14351.4969421939
122	14379.2384148986
123	14379.6047397064
124	14405.0032313483
125	14480.3181675969
126	14510.3664005072
127	14497.4512063802
128	14497.2082034855
129	14515.2258082653
130	14558.5491388066
131	14552.6484990286
132	14542.4852798111
133	14527.1825877097
134	14563.5071433709
135	14589.0691455195
136	14540.2232403602
137	14528.0927710509
138	14466.4500426728
139	14386.0486193171
140	14330.4150293112
141	14258.7067657575
142	14188.5075197578
143	14132.7051764682
144	14174.0145479212
145	14133.9169230978
146	14092.6473972909
147	14068.1531300119
148	14057.6726752625
149	14046.2078571198
150	13983.4412462445
151	13926.7051118341
152	13908.8182881233
153	13916.7170692735
154	13957.9701059548
155	13988.5242585949
156	13985.9325614712
157	14028.7138025557
158	14061.7764062332
159	14061.7959097319
160	14078.813787557
161	14087.9274488755
162	14111.6261873283
163	14158.105557176
164	14190.5879413329
165	14168.1067506924
166	14151.5508427035
167	14139.0971713276
168	14137.04580055
169	14069.466287965
170	14074.7432081484
171	14026.5734284123
172	14012.0286006592
173	14027.7350839348
174	14023.9001438137
175	14034.3989942083
176	14073.2496506193
177	14097.569149104
178	14098.5271841955
179	14087.3056950454
180	14103.4047871701
181	14026.7317338517
182	13960.7067527519
183	13916.5261793631
184	13812.0484191876
185	13751.1735617004
186	13731.3736885785
187	13743.0129372756
188	13735.8848898848
189	13722.3871258623
190	13706.836928991
191	13673.9336127276
192	13654.7018332561
193	13656.3697121843
194	13628.6912757181
195	13577.4554058995
196	13564.3389042073
197	13521.9655773905
198	13492.3883313909
199	13485.1375109155
200	13484.2648406351
201	13463.1619821759
202	13469.6815694259
203	13475.4007607932
204	13471.2006251355
205	13461.4764346242
206	13468.1971809087
207	13436.102241546
208	13313.6351574453
209	13246.625779119
210	13228.8403629943
211	13216.586488037
212	13154.622987705
213	13107.0076704559
214	13071.7033460089
215	13052.8753714157
216	13053.7950452863
217	13035.651126071
218	13000.8358766355
219	12971.9930467757
220	12942.3907264519
221	12931.5772112374
222	12926.837531697
223	12913.0447982726
224	12898.0153492472
225	12886.7685479229
226	12853.4182149766
227	12834.3404171972
228	12803.9288056045
229	12778.5119034001
230	12733.650787214
231	12705.6101371758
232	12649.5872919449
233	12612.5250681044
234	12555.2680313442
235	12515.5051495787
236	12476.3630469562
237	12426.394546658
238	12406.5940480136
239	12357.0855384834
240	12329.9678554906
241	12284.7901661732
242	12250.3430481504
243	12229.4335539089
244	12235.6521396026
245	12215.5349201014
246	12184.9500046344
247	12155.9937714378
248	12132.8105894885
249	12077.9919841633
250	12019.9036547287
251	11979.2816272978
252	11952.8242663198
253	11922.5158309663
254	11909.5001773562
255	11893.6492042207
256	11859.0635251183
257	11804.8276050739
258	11745.989520675
259	11710.7345946385
260	11657.6867751007
261	11618.645144646
262	11602.9274997712
263	11562.7289629277
264	11535.2434651151
265	11494.2463904482
266	11455.5239447812
267	11396.4572194894
268	11308.5440100677
269	11231.5967613683
270	11203.4970895568
271	11148.8587753597
272	11073.5369149775
273	11018.528947592
274	10932.1605254594
275	10861.3031390323
276	10817.8679911763
277	10786.8393070863
278	10747.7147595649
279	10695.4464295313
280	10607.3415826309
281	10526.6923754098
282	10426.9141452816
283	10353.5971884876
284	10298.0583013067
285	10261.2658350495
286	10221.7321705366
287	10165.1348544523
288	10092.7846853954
289	10015.391451524
290	9941.61883927572
291	9889.68212358032
292	9861.11385006524
293	9844.74205987728
294	9747.00061169114
295	9666.42460695384
296	9589.36748718162
297	9528.34383162313
298	9378.81805094322
299	9273.66106014308
300	9181.97653110371
301	9120.36424890523
302	9053.82172025553
303	9012.6820654048
304	8976.36987450355
305	8961.80393014541
306	8939.66215253071
307	8921.77827631022
308	8881.36691375787
309	8862.37891255151
310	8838.71847565279
311	8821.54938489521
312	8819.366340814
313	8810.55363824142
314	8776.27548499527
315	8769.74956243543
316	8722.30840910012
317	8673.06285488586
318	8656.26837358835
319	8635.55927546923
320	8611.80340941876
321	8597.89486308155
322	8583.51961389223
323	8541.86006728101
324	8491.87789330644
325	8426.42634096738
326	8327.27882850464
327	8257.24709836653
328	8195.39843746732
329	8135.5937700279
330	8052.23598309276
331	7998.95636890456
332	7957.23401574591
333	7910.89147988152
334	7846.69408164129
335	7724.5080254263
336	7544.62510132112
337	7422.83783872776
338	7267.88525991773
339	7095.58729670061
340	6937.19503113199
341	6673.86877161993
342	6398.74914695377
343	6190.72870107786
344	5897.38509804387
345	5652.66569682386
346	5387.19538626925
347	5071.3031128548
348	4735.50519741665
349	4373.73233095292
350	4023.7028953497
351	3714.33450661493
352	3418.24453324147
353	3098.88674224113
354	2819.80439624562
355	2553.19036245075
356	2307.83197485862
357	2055.40927576507
358	1850.96797784694
359	1668.7967834687
360	1523.82080404474
361	1386.97553305254
362	1261.990839386
363	1144.37205216816
364	1041.35882664718
365	953.154062280367
366	865.01111140567
367	790.125756768755
368	738.977968944024
369	693.876123482666
370	643.572311542182
371	610.401322587692
372	585.228819378339
373	562.772836792852
374	545.524578765265
375	531.995624242834
376	519.323438262171
377	504.341448958974
378	494.727020195407
379	485.005149121666
380	475.886436118368
381	468.747434405874
382	465.288214642455
383	460.36802897249
384	458.323299972795
385	454.076233574858
386	450.813515166872
387	446.328408956706
388	441.437909461486
389	436.349871870405
390	432.998414961284
391	429.541596559233
392	426.845496111698
393	423.210324976075
394	419.85132010328
395	417.415015673805
396	414.491912006644
397	412.96588353467
398	411.113763163492
399	409.567425570684
400	407.498491679795
401	405.827752114248
402	404.953533503655
403	404.348324614418
404	403.93444372987
405	402.784660363415
406	401.338795350083
407	400.108026494035
408	398.78773981617
409	397.440183503303
410	395.862462073046
411	395.153312748202
412	394.164820978753
413	393.243052968618
414	391.365963272234
415	390.794600932723
416	390.391777305951
417	389.773428161579
418	389.545890261517
419	388.972860737892
420	388.482794840697
421	388.200435826058
422	388.095933476937
423	387.895061200226
424	387.621494833766
425	387.276287584793
426	387.228674305508
427	387.2003218108
428	387.09543727018
429	387.022492139594
430	386.860331124344
431	386.722033140476
432	386.367414803965
433	386.26762384078
434	386.084512371931
435	385.872398700595
436	385.543290705623
437	385.354019674229
438	385.136884454533
439	385.47673359071
440	386.056706759904
441	386.590146021887
442	388.949863270839
443	389.862001841846
444	390.581596778224
445	392.453332277534
446	393.162053081674
447	394.177731689466
448	394.14130140233
449	393.862278240581
450	393.320500287739
451	392.73585322762
452	392.708769701964
453	393.301294681778
454	393.015677324298
455	393.940013695324
456	394.109143305084
457	393.707266702435
458	393.456116886601
459	393.777738366016
460	393.920756703754
461	400.858913778742
462	402.015288580231
463	404.393993529046
464	405.517190499824
465	405.796494481193
466	409.677123965857
467	412.103200996406
468	415.030017587727
469	417.412317131958
470	419.709639842623
471	420.959908936376
472	421.596369478522
473	422.968051896963
474	426.02849179619
475	429.119989194083
476	430.707314975495
477	431.405665620086
478	431.484466832389
479	431.436371191428
480	431.469030970849
481	433.891992111562
482	434.005288853238
483	434.064359750952
484	434.164490534441
485	434.172832242257
486	434.697335925943
487	435.201200857218
488	435.715092770242
489	436.230368197525
490	436.230368197525
491	436.636125880709
492	438.050991742436
493	437.991507867177
494	438.780615025441
495	438.780615025441
496	438.71635101756
497	438.71635101756
498	438.71635101756
499	438.71635101756
500	438.71635101756
501	438.71635101756
502	438.71635101756
503	438.71635101756
504	438.71635101756
505	438.71635101756
506	438.71635101756
507	438.71635101756
508	438.71635101756
509	438.71635101756
510	438.71635101756
511	438.71635101756
512	438.71635101756
513	438.71635101756
514	438.71635101756
515	438.71635101756
516	438.71635101756
