Generation	Ne_genomatric
1	42.7361434199284
2	42.7361434199284
3	42.7361434199284
4	42.7361434199284
5	52.7322388765771
6	53.4588999335668
7	53.8815754284674
8	53.8132323299115
9	59.208456805281
10	59.9651071027586
11	61.3024397055031
12	62.4920692137784
13	64.7133715011091
14	65.9525855813231
15	66.8332812843887
16	68.4143856438813
17	70.7349983704448
18	72.8078608623057
19	78.7673928188516
20	101.276662350507
21	157.033132050981
22	210.539389427302
23	298.243143850731
24	406.893653173618
25	551.957506021443
26	735.692542495672
27	918.529496610443
28	1040.20121967172
29	1250.84661590549
30	1392.03438307051
31	1509.29143923144
32	1653.22537955183
33	1753.03552671018
34	1813.15976064875
35	1856.60199118531
36	1870.32964132521
37	1886.83097712763
38	1899.5718107739
39	1910.12904312023
40	1914.71489690445
41	1925.27663538978
42	1942.19014248754
43	1948.23409346438
44	1952.66862824897
45	1967.95428052615
46	1972.84959972205
47	1978.48342769647
48	1988.1762177788
49	2004.47714738023
50	2023.81947848926
51	2037.49813896594
52	2044.31213208413
53	2037.43847730454
54	2021.38685853615
55	2024.82420395992
56	2025.29869070839
57	2017.06417777388
58	2021.0244971372
59	2029.87717700158
60	2046.78782139184
61	2070.81699183541
62	2087.79040068007
63	2097.98535085645
64	2105.75042241738
65	2109.27639590566
66	2102.92362021961
67	2123.69193328189
68	2146.39289565202
69	2163.74971435337
70	2190.39989777176
71	2197.52646146016
72	2207.88617850557
73	2221.99464784828
74	2226.37890245792
75	2235.38344773372
76	2242.14027615506
77	2250.76039861906
78	2265.54814406308
79	2278.84293207148
80	2285.35133897378
81	2288.33406082901
82	2297.36943863908
83	2289.96596735966
84	2297.75307704971
85	2305.72882036121
86	2307.78426673507
87	2319.93963702225
88	2336.97411152744
89	2341.99143242906
90	2351.33150266179
91	2367.73573259948
92	2373.33122952626
93	2379.80710360814
94	2381.74385936634
95	2381.78422679436
96	2387.0634755308
97	2393.09227415823
98	2396.96136266708
99	2411.75593929521
100	2407.87177121738
101	2411.29674036914
102	2422.68958987161
103	2433.98335738598
104	2436.96930503088
105	2450.85368632742
106	2464.05822729312
107	2480.14811462313
108	2490.86157102508
109	2506.56445512352
110	2525.95596092344
111	2533.1442199733
112	2542.85964967479
113	2557.34036711183
114	2564.12154266406
115	2581.02253143221
116	2591.83362209522
117	2609.95439626674
118	2618.60446314233
119	2620.69795459879
120	2645.4131434904
121	2645.76928016545
122	2643.05237907312
123	2647.02013672655
124	2640.12015101614
125	2632.82437050577
126	2624.40220060293
127	2623.306136526
128	2621.85006120719
129	2626.04516633041
130	2637.21628032646
131	2647.07770434222
132	2654.28500258466
133	2659.04343613846
134	2657.21304414945
135	2663.08448026967
136	2669.64931707663
137	2671.55629045904
138	2674.88566582308
139	2672.92737403487
140	2680.77088805581
141	2687.35257603445
142	2692.54691828447
143	2695.19857655805
144	2688.30542500831
145	2676.73481704685
146	2672.14332411656
147	2664.78926626875
148	2657.93283483003
149	2659.11602625036
150	2655.57319408932
151	2661.33438226206
152	2659.3150095762
153	2651.48977839646
154	2651.10321781923
155	2644.69934578228
156	2643.05504640965
157	2632.02542237688
158	2629.94185345156
159	2623.11629217882
160	2627.95694684094
161	2630.50645606949
162	2639.8868233852
163	2642.96066360719
164	2644.24467754379
165	2637.88405750001
166	2646.08571733129
167	2644.12532144337
168	2637.77778382554
169	2635.58050381691
170	2629.50499633067
171	2625.44197409237
172	2628.32735111071
173	2630.35332651903
174	2633.04776078788
175	2637.20909183234
176	2652.11744957286
177	2650.3648464855
178	2649.28290598173
179	2644.66693641325
180	2633.9634006607
181	2627.89908177371
182	2622.17781193419
183	2609.98427990217
184	2603.18224173385
185	2588.77638515795
186	2572.08389894658
187	2552.12521848024
188	2534.53719217454
189	2523.78442467297
190	2516.12697472818
191	2520.77023648543
192	2522.6102745737
193	2523.09623772992
194	2518.7445246555
195	2513.55722465193
196	2511.0931734774
197	2504.03582644474
198	2499.84518140186
199	2498.79263697593
200	2497.44066950136
201	2492.79847535075
202	2483.02931806975
203	2480.00365369104
204	2472.1500924628
205	2468.96355337122
206	2468.68621548487
207	2466.94839717086
208	2461.68204278071
209	2458.75561379316
210	2457.7135364157
211	2450.44514119681
212	2445.41236263548
213	2443.6511947471
214	2437.20338041632
215	2425.29800843528
216	2407.52813789952
217	2405.65793850486
218	2392.02675888755
219	2376.0678593029
220	2365.94810996664
221	2354.45569213102
222	2349.80909058193
223	2346.42506106799
224	2340.41642837903
225	2335.26466094127
226	2338.13611755814
227	2335.63033453421
228	2328.67426778442
229	2330.72278667906
230	2321.70829819566
231	2306.77994152399
232	2300.38253136183
233	2294.69949952869
234	2297.83662311988
235	2290.45334649259
236	2283.8253071524
237	2276.14308452721
238	2272.32698425489
239	2266.78926778342
240	2264.55205035965
241	2267.70788853092
242	2263.24891523493
243	2255.05248049766
244	2254.17407228042
245	2249.53906173366
246	2251.6963679632
247	2253.43031662559
248	2251.95132644536
249	2251.88635357982
250	2254.47793108316
251	2252.71042147308
252	2250.31307253461
253	2244.27298637479
254	2238.05579910968
255	2230.5007047128
256	2223.57386782719
257	2201.3989144924
258	2180.96324166066
259	2143.6554271254
260	2104.21429330194
261	2056.73473098227
262	2003.55329722397
263	1940.09608449508
264	1873.73708001556
265	1808.44449209993
266	1740.67477157203
267	1669.7548296032
268	1580.34402111777
269	1488.72776654509
270	1401.85569588046
271	1331.13445782781
272	1258.73437866569
273	1196.4886836127
274	1125.23377441509
275	1057.35186306009
276	989.838613813869
277	922.79420661439
278	866.49731231444
279	807.269253017991
280	746.580107261824
281	693.626406526519
282	642.414916275554
283	586.857251409599
284	547.943846294129
285	515.725519698256
286	487.961938305897
287	456.099428618818
288	423.155887163381
289	400.125429745107
290	379.252817406014
291	359.175375380926
292	345.178330743334
293	332.924498013579
294	321.554482097307
295	310.578777252393
296	299.377928296446
297	291.390240964777
298	284.496258778351
299	278.033227233612
300	271.953506249257
301	265.463832915447
302	262.242322882456
303	258.615336378063
304	255.040782238833
305	251.152737031697
306	247.913069565844
307	245.071903822706
308	242.870137406505
309	241.784813540613
310	240.462212650279
311	238.148053745368
312	236.225768957536
313	233.753941438165
314	231.909645729041
315	229.698368184707
316	227.060352320794
317	225.834578406206
318	224.348494706092
319	223.531151966926
320	223.178373952073
321	222.960735687761
322	221.88599885054
323	221.074238705902
324	220.16945798101
325	219.627080035547
326	218.384657841587
327	217.338652767634
328	216.196915096409
329	214.568597083114
330	212.638766214751
331	211.438042823344
332	209.501279136205
333	209.059110154095
334	207.979723828674
335	207.541904553371
336	207.483547507461
337	207.43124011003
338	207.350174471598
339	207.175773307183
340	206.603134162408
341	206.105558158347
342	205.817849737005
343	205.172119279806
344	204.603557850368
345	203.966370907425
346	203.607853517281
347	203.105817595173
348	202.879612678522
349	202.869329041895
350	202.587240918652
351	202.413405580695
352	202.181145897188
353	202.130962060105
354	201.95505983231
355	201.693724296753
356	201.230142079946
357	200.998758193109
358	200.647396285464
359	200.472924388951
360	200.392969699249
361	200.292450753726
362	200.067608321739
363	199.655139018133
364	199.37137366765
365	198.973177344153
366	199.172296472585
367	199.287793266824
368	199.144608855101
369	199.14466776618
370	199.216515630193
371	199.266957504515
372	199.270643097951
373	199.386912815774
374	199.329432265727
375	199.5217939635
376	199.7788203336
377	200.189131782493
378	200.266518935324
379	200.467097936373
380	200.800720604688
381	201.434438490003
382	202.036542430467
383	202.869005214927
384	203.307908609522
385	203.888169199247
386	204.165227332198
387	204.579139156896
388	204.832605979666
389	205.193722871119
390	205.716759677671
391	206.283762829183
392	206.85756697872
393	207.1544462173
394	207.617877719457
395	208.064627662007
396	208.332936111769
397	209.010449097489
398	209.222517773567
399	209.648719730623
400	209.922963036072
401	210.097062993522
402	210.108783732664
403	210.282518169682
404	210.448999615737
405	210.463698344177
406	210.613945753091
407	210.604045726332
408	210.887141367323
409	211.088790000573
410	211.148206392006
411	211.238101094475
412	211.176860599742
413	211.345015110493
414	211.437254902754
415	211.668086633848
416	211.872225265048
417	212.19491543547
418	212.627932964978
419	213.039054911088
420	213.328629877214
421	213.534094350995
422	214.003301192419
423	214.181068316306
424	214.047767087267
425	214.119481316676
426	214.742193695273
427	215.199447059466
428	216.024915018763
429	216.291130829146
430	216.5765012442
431	216.845901082
432	217.119107693909
433	217.528967070954
434	217.545072359773
435	218.025383561106
436	218.593148820486
437	218.957216852768
438	219.451547793008
439	219.356132809453
440	219.452198645312
441	219.644539355448
442	219.833432189095
443	220.165615005547
444	220.341265037063
445	220.446951576013
446	220.55090853491
447	220.773880740211
448	221.10546724609
449	221.492804027937
450	221.808538662816
451	222.152232878163
452	222.426915285032
453	222.759143028937
454	223.013287091961
455	223.462972754122
456	224.030252232663
457	224.275640769706
458	224.792592935458
459	225.207004678988
460	225.642513301392
461	226.400884841103
462	227.365558202383
463	227.906912066322
464	228.341564032819
465	229.046671614072
466	229.555016593158
467	230.22229061985
468	230.623451268289
469	230.92398401793
470	231.559014816897
471	232.114721339603
472	233.000061857998
473	233.479962646658
474	234.025544588537
475	234.322522846598
476	234.91251663115
477	235.323145558494
478	235.980187691086
479	236.730181962256
480	237.229615923758
481	237.768773636535
482	237.845244762981
483	238.166870554273
484	238.232064539049
485	238.626020592053
486	239.021508857478
487	239.432121111447
488	239.719156148632
489	239.846733738303
490	240.052750802691
491	240.117484894528
492	240.188501568278
493	240.32697403043
494	240.396376498691
495	240.396376498691
496	240.396376498691
497	240.396376498691
498	240.396376498691
